22 150
NAME STRING
FR1 FLOAT
FR2 FLOAT
FR3 FLOAT
FR4 FLOAT
FR5 FLOAT
FR6 FLOAT
FR7 FLOAT
FR8 FLOAT
FR9 FLOAT
FR10 FLOAT
FR11 FLOAT
FR12 FLOAT
FR13 FLOAT
FR14 FLOAT
FR15 FLOAT
FR16 FLOAT
FR17 FLOAT
FR18 FLOAT
FR19 FLOAT
FR20 FLOAT
FR21 FLOAT
"reo35" -107.408936 -55.912315 -28.57054 -14.83887 -8.256379 -5.1185513 -3.4758332 -2.4115746 -1.5527974 -0.7672241 0.0 0.7964516 1.6860113 2.7724442 4.269547 6.664423 11.020455 19.466537 35.919136 67.083725 123.78221 
"reo36" -87.28545 -42.62496 -19.34232 -8.10582 -3.1798863 -1.2621521 -0.6056709 -0.38552764 -0.26911262 -0.1493292 0.0 0.18726046 0.4254402 0.7545241 1.3046215 2.4405594 5.028676 10.866545 23.316366 48.182755 94.875656 
"reo37" -85.88952 -44.079285 -22.184526 -11.399031 -6.3614745 -4.0267925 -2.8162503 -2.0064073 -1.3171607 -0.65904856 0.0 0.6882837 1.4441324 2.3297105 3.484636 5.25923 8.467214 14.797664 27.42605 51.864166 97.08875 
"reo38" -61.06388 -31.504633 -15.817981 -7.972614 -4.258603 -2.5386562 -1.6819538 -1.1544917 -0.7398433 -0.36425593 0.0 0.37911454 0.8161377 1.3893789 2.2568908 3.75312 6.56381 12.00524 22.433884 41.81257 76.45922 
"reo39" -65.095566 -33.249485 -16.476599 -8.1878605 -4.343615 -2.624355 -1.8055493 -1.307353 -0.8900704 -0.46621183 0.0 0.5348265 1.1680597 1.946069 2.9739969 4.516254 7.1844597 12.241984 22.05423 40.713818 74.869804 
"reo4" -63.311817 -34.143368 -18.442802 -10.358801 -6.3037076 -4.215957 -3.0038521 -2.1447902 -1.4140362 -0.71712697 0.0 0.7890593 1.7115629 2.850965 4.350716 6.504132 9.921989 15.803759 26.33837 45.260433 78.58784 
"reo40" -73.272995 -36.597153 -17.367977 -7.9674644 -3.718263 -1.9309424 -1.1850977 -0.8108876 -0.53760344 -0.2758594 0.0 0.3026806 0.64931417 1.0788333 1.7027528 2.8227618 5.148533 10.149155 20.571594 41.159584 79.60638 
"reo41" -87.03299 -45.062782 -23.239626 -12.569742 -7.5932918 -5.2259755 -3.8863199 -2.8678083 -1.9150639 -0.96326643 0.0 0.9912831 2.0469878 3.2391016 4.731731 6.919253 10.686898 17.834572 31.704712 58.055023 106.21684 
"reo42" -48.103783 -24.560272 -12.397765 -6.533886 -3.876811 -2.6754858 -2.0295448 -1.536131 -1.0507938 -0.53965133 0.0 0.57344437 1.1994888 1.921406 2.840693 4.196461 6.5132747 10.840252 19.104248 34.59993 62.639565 
"reo43" -28.800484 -14.463606 -6.8181825 -3.01611 -1.2834247 -0.57739156 -0.3269168 -0.24437977 -0.19698179 -0.1257081 0.0 0.20376655 0.5118988 0.9630053 1.6295171 2.6630154 4.3752704 7.366892 12.715496 22.235296 38.820015 
"reo44" -77.37905 -35.670124 -14.57829 -4.917259 -1.092172 0.07366657 0.22293738 0.10063794 -0.016101258 -0.053413235 0.0 0.15095574 0.41857582 0.85107183 1.5838337 2.9801235 5.89568 12.108534 24.95534 50.215523 97.28455 
